,Dzielnica,Cena,Ulica,Powierzchnia
292,Podgórze Duchackie,1 294 000,Sławka,"84,3"
293,Dębniki,653 520,Na Ustroniu,"31,1"
294,Dębniki,2 820 490,Na Ustroniu,"122,6"
295,Podgórze,1 267 000,Romanowicza 6A,"61,5"
296,Podgórze,3 028 680,Romanowicza 6A,"161,9"
297,Podgórze,499 001,Rydlówka 30-363,"25,3"
298,Podgórze,1 104 400,Rydlówka 30-363,"62,8"
299,Podgórze,1 732 200,Romanowicza 6,"84,8"
300,Podgórze,3 028 680,Romanowicza 6,"161,9"
301,Podgórze,751 812,Kalwaryjska 74,"40,0"
302,Podgórze,3 542 160,Kalwaryjska 74,"147,6"
303,Podgórze,698 987,Orawska,"42,4"
304,Podgórze,2 652 160,Orawska,"94,7"
305,Dębniki,4 970 000,Barska 8,"143,0"
306,Grzegórzki,638 000,Kołłątaja 12,"34,5"
307,Grzegórzki,1 049 000,Kołłątaja 12,"60,6"
308,Prądnik Czerwony,860 950,Śliczna,"70,6"
309,Prądnik Czerwony,1 340 950,Śliczna,"120,8"
310,Prądnik Czerwony,510 843,Bohomolca,"36,2"
311,Prądnik Czerwony,1 106 950,Bohomolca,"85,2"
312,Prądnik Czerwony,690 368,Reduta,"43,2"
313,Prądnik Czerwony,2 193 600,Reduta,"137,1"
314,Prądnik Czerwony,760 540,Dominikanów,"46,3"
315,Prądnik Czerwony,1 282 956,Dominikanów,"87,3"
316,Stare Miasto,652 428,Prandoty,"34,5"
317,Stare Miasto,1 351 827,Prandoty,"94,5"
318,Grzegórzki,1 003 120,Grzegórzecka 77,"59,0"
319,Grzegórzki,1 180 271,Grzegórzecka 77,"77,7"
320,Grzegórzki,698 402,Grzegórzecka 77,"37,1"
321,Grzegórzki,1 021 245,Grzegórzecka 77,"63,2"
322,Grzegórzki,1 110 558,Grzegórzecka 77,"65,3"
323,Grzegórzki,1 909 350,Grzegórzecka 77,"112,3"
324,Prądnik Czerwony,520 876,Ostatnia,"30,6"
325,Prądnik Czerwony,520 876,Ostatnia,"30,6"
326,Prądnik Czerwony,774 900,al. Jana Pawła II 52 31-571,"47,3"
327,Prądnik Czerwony,1 791 270, al. Jana Pawła II 52 31-571,"91,9"
328,Grzegórzki,932 950,Masarska 6,"51,4"
329,Grzegórzki,1 679 645,Masarska 6,"81,0"
330,Stare Miasto,487 290,Długa 82,"25,6"
331,Stare Miasto,1 276 800,Długa 82,"73,0"
332,Stare Miasto,683 060,Rakowicka,"33,3"
333,Stare Miasto,1 464 710,Rakowicka,"77,1"
334,Grzegórzki,696 388,Prochowa,"33,3"
335,Grzegórzki,1 780 000,Chodkiewicza,"84,5"
336,Prądnik Czerwony,587 911,Mogilska,"27,3"
337,Prądnik Czerwony,2 449 051,Mogilska,"134,4"
338,Grzegórzki,806 990,Grzegórzecka,"47,5"
339,Grzegórzki,5 522 660,Grzegórzecka,"212,4"
340,Stare Miasto,816 884,Krowoderska,"38,2"
341,Stare Miasto,1 290 060,Krowoderska,"55,7"
342,Stare Miasto,1 650 000,Plac Kossaka,"76,2"
343,Stare Miasto,1 650 000,Plac Kossaka,"76,2"
344,Prądnik Czerwony,704 935,Mogilska,"28,7"
345,Prądnik Czerwony,1 607 908,Mogilska,"72,1"
346,Grzegórzki,927 740,Żółkiewskiego,"42,2"
347,Grzegórzki,2 660 020,Żółkiewskiego,"120,9"
348,Stare Miasto,998 597,Smoleńsk 33,"40,5"
349,Stare Miasto,5 791 622,Smoleńsk 33,"177,9"
350,Stare Miasto,631 375,Świętego Sebastiana 18,"24,5"
351,Stare Miasto,3 200 000,Świętego Sebastiana 18,"116,7"
352,Stare Miasto,789 880,Długa 24,"30,4"
353,Stare Miasto,2 586 330,Długa 24,"83,4"
354,Stare Miasto,914 589,Librowszczyzna 3,"33,9"
355,Stare Miasto,4 259 450,Bonerowska 1,"131,1"
356,Stare Miasto,900 484,Dolnych Młynów 10,"25,5"
357,Stare Miasto,2 598 280,Dolnych Młynów 10,"76,4"
358,Nowa Huta,371400,Edwarda Szymańskiego Branice,30.95
359,Nowa Huta,580710,Edwarda Szymańskiego Branice,44.67
360,Swoszowice,929000,Opatkowicka,107
361,Swoszowice,1149000,Opatkowicka,109.92
362,Swoszowice,1149000,Opatkowicka,109.92
