,Dzielnica,Cena,Ulica,Powierzchnia,Cena_za_m2,lat,lon
205,Podgórze,578935,Półłanki,68.0,8513.75,50.0378614,20.0426109
206,Podgórze,578935,Półłanki,68.0,8513.75,50.0378614,20.0426109
207,Podgórze,608878,Półłanki,59.4,10250.47,50.0378614,20.0426109
208,Podgórze,961056,Półłanki,105.0,9152.91,50.0378614,20.0426109
209,Dębniki,900000,Zelwerowicza,90.5,9944.75,50.0179578,19.8790929
210,Dębniki,900000,Zelwerowicza,90.5,9944.75,50.0179578,19.8790929
211,Podgórze Duchackie,518100,Strumienna,45.3,11437.09,50.0207482,19.9454037761301
212,Podgórze Duchackie,819390,Strumienna,88.2,9290.14,50.0207482,19.9454037761301
213,Podgórze Duchackie,862164,Przyjaźni Polsko-Węgierskiej,80.9,10657.16,50.0270007,19.9453977
214,Podgórze Duchackie,873989,Przyjaźni Polsko-Węgierskiej,81.5,10723.79,50.0270007,19.9453977
215,Bieżanów-Prokocim,745254,Wielicka 179,67.1,11106.62,50.0222378,19.9818008
216,Bieżanów-Prokocim,829725,Wielicka 179,74.8,11092.58,50.0222378,19.9818008
217,Podgórze,740000,Myśliwska,66.5,11127.82,50.0451882,19.9955009
218,Podgórze,740000,Myśliwska,66.5,11127.82,50.0451882,19.9955009
219,Podgórze Duchackie,845127,Trybuny Ludów 27,74.8,11298.49,50.0183926,19.9626569
220,Podgórze Duchackie,852606,Trybuny Ludów 27,74.8,11398.48,50.0183926,19.9626569
221,Podgórze Duchackie,677875,Tuchowska,54.2,12506.92,50.0089395,19.9666685
222,Podgórze Duchackie,927990,Tuchowska,88.4,10497.62,50.0089395,19.9666685
223,Dębniki,699000,Tyniecka,60.4,11572.85,50.0509158,19.9194492
224,Dębniki,699000,Tyniecka,60.6,11534.65,50.0509158,19.9194492
225,Podgórze Duchackie,698422,Przyjaźni Polsko-Węgierskiej,52.2,13379.73,50.0270007,19.9453977
226,Podgórze Duchackie,1080874,Przyjaźni Polsko-Węgierskiej,98.5,10973.34,50.0270007,19.9453977
227,Dębniki,1040036,Sodowa,83.4,12470.46,50.0348461,19.8993706
228,Dębniki,1131669,Sodowa,94.5,11975.33,50.0348461,19.8993706
229,Bieżanów-Prokocim,428022,Jerzmanowskiego 37,35.6,12023.09,50.0113893,20.010046258787348
230,Bieżanów-Prokocim,849524,Jerzmanowskiego 37,68.5,12401.81,50.0113893,20.010046258787348
231,Podgórze Duchackie,941259,Podedworze 30-686,77.8,12098.44,50.010455,19.9790932
232,Podgórze Duchackie,941259,Podedworze 30-686,77.8,12098.44,50.010455,19.9790932
233,Podgórze,727703,Lipska,58.5,12439.37,50.0391638,20.0044929
234,Podgórze,827960,Siemienowicza,69.9,11844.92,50.0380141,19.99558998964621
235,Dębniki,717167,Piltza,55.6,12898.69,50.0089455,19.8894521
236,Dębniki,1033078,Piltza,86.5,11943.1,50.0089455,19.8894521
237,Dębniki,840000,Krokusowa 4,65.8,12765.96,50.02364795,19.92048037385321
238,Dębniki,1000000,Krokusowa 4,82.9,12062.73,50.02364795,19.92048037385321
239,Dębniki,723948,Łany 29,56.1,12904.6,50.0235056,19.9123284
240,Dębniki,1177680,Łany 29,105.2,11194.68,50.0235056,19.9123284
241,Bieżanów-Prokocim,648000,Facimiech,49.4,13117.41,50.016111,19.9898524
242,Bieżanów-Prokocim,754000,Facimiech,60.2,12524.92,50.016111,19.9898524
243,Bieżanów-Prokocim,344793,Domagały,25.5,13521.29,50.0323636,20.0519058
244,Bieżanów-Prokocim,709000,Domagały,63.7,11130.3,50.0323636,20.0519058
245,Bieżanów-Prokocim,559813,Andrusikiewicza 4,42.3,13234.35,50.0227989,19.9941498
246,Bieżanów-Prokocim,900360,Andrusikiewicza 4,75.0,12004.8,50.0227989,19.9941498
247,Dębniki,704875,Czerwone Maki,56.4,12497.78,50.0173952,19.8894652
248,Dębniki,843015,Czerwone Maki,65.7,12831.28,50.0173952,19.8894652
249,Podgórze,840019,Przewóz,66.9,12556.34,50.0417419,20.0621804
250,Podgórze,931393,Przewóz,74.4,12518.72,50.0417419,20.0621804
251,Podgórze Duchackie,706048,Turniejowa 59,55.2,12790.72,50.010732950000005,19.96029449848386
252,Podgórze Duchackie,1029825,Turniejowa 59,89.6,11493.58,50.010732950000005,19.96029449848386
253,Podgórze,775372,Lipska,61.7,12566.81,50.0391638,20.0044929
254,Podgórze,880362,Lipska,69.9,12594.59,50.0391638,20.0044929
255,Dębniki,580000,Lubostroń 13,44.6,13004.48,50.0147758,19.8964311
256,Dębniki,1083960,Lubostroń 13,88.4,12261.99,50.0147758,19.8964311
257,Podgórze,560254,Nowa Myśliwska,41.8,13403.21,50.0439042,19.997197959546764
258,Podgórze,831438,Nowa Myśliwska,68.0,12227.03,50.0439042,19.997197959546764
259,Łagiewniki - Borek Fałęcki,674177,Turowicza,50.7,13297.38,50.01505515,19.9442847
260,Łagiewniki - Borek Fałęcki,921310,Turowicza,70.9,12994.5,50.01505515,19.9442847
261,Podgórze,560995,Myśliwska,41.2,13616.38,50.0451882,19.9955009
262,Podgórze,1033962,Myśliwska,77.5,13341.45,50.0451882,19.9955009
263,Dębniki,671895,Obrońców Helu,49.8,13491.87,50.0188114,19.8855194
264,Dębniki,902352,Obrońców Helu,68.4,13192.28,50.0188114,19.8855194
265,Łagiewniki - Borek Fałęcki,612030,Obozowa,44.4,13784.46,50.014938,19.9071368
266,Łagiewniki - Borek Fałęcki,1586571,Obozowa,123.0,12898.95,50.014938,19.9071368
267,Łagiewniki - Borek Fałęcki,819000,Totus Tuus,63.0,13000.0,50.0134344,19.9418804
268,Łagiewniki - Borek Fałęcki,1302000,Totus Tuus,93.0,14000.0,50.0134344,19.9418804
269,Dębniki,913242,Zalesie 27c 30-384,66.7,13691.78,50.0201389,19.910366
270,Bieżanów-Prokocim,562848,Republiki Korczakowskiej 21,39.4,14285.48,50.0163919,20.0008638
271,Bieżanów-Prokocim,2895575,Republiki Korczakowskiej 21,219.5,13191.69,50.0163919,20.0008638
272,Podgórze Duchackie,700671,Malborska,51.7,13552.63,50.0225718,19.9661589
273,Podgórze Duchackie,1357993,Białoruska,98.1,13842.95,50.020573,19.9632447
274,Podgórze,747000,Kiełkowskiego,49.7,15030.18,50.0450968,19.9691749
275,Podgórze,1150000,Kiełkowskiego,88.8,12950.45,50.0450968,19.9691749
